date,rate,direction
2024-01-02,1.0956,EUR_TO_USD
2024-01-03,1.0919,EUR_TO_USD
2024-01-04,1.0953,EUR_TO_USD
2024-01-05,1.0921,EUR_TO_USD
2024-01-08,1.0946,EUR_TO_USD
2024-01-09,1.094,EUR_TO_USD
2024-01-10,1.0946,EUR_TO_USD
2024-01-11,1.0987,EUR_TO_USD
2024-01-12,1.0942,EUR_TO_USD
2024-01-15,1.0945,EUR_TO_USD
2024-01-16,1.0882,EUR_TO_USD
2024-01-17,1.0877,EUR_TO_USD
2024-01-18,1.0875,EUR_TO_USD
2024-01-19,1.0887,EUR_TO_USD
2024-01-22,1.089,EUR_TO_USD
2024-01-23,1.0872,EUR_TO_USD
2024-01-24,1.0905,EUR_TO_USD
2024-01-25,1.0893,EUR_TO_USD
2024-01-26,1.0871,EUR_TO_USD
2024-01-29,1.0823,EUR_TO_USD
2024-01-30,1.0846,EUR_TO_USD
2024-01-31,1.0837,EUR_TO_USD
2024-02-01,1.0814,EUR_TO_USD
2024-02-02,1.0883,EUR_TO_USD
2024-02-05,1.0746,EUR_TO_USD
2024-02-06,1.0743,EUR_TO_USD
2024-02-07,1.0776,EUR_TO_USD
2024-02-08,1.0758,EUR_TO_USD
2024-02-09,1.0772,EUR_TO_USD
2024-02-12,1.0773,EUR_TO_USD
2024-02-13,1.0793,EUR_TO_USD
2024-02-14,1.0713,EUR_TO_USD
2024-02-15,1.0743,EUR_TO_USD
2024-02-16,1.0768,EUR_TO_USD
2024-02-19,1.0776,EUR_TO_USD
2024-02-20,1.0802,EUR_TO_USD
2024-02-21,1.0809,EUR_TO_USD
2024-02-22,1.0844,EUR_TO_USD
2024-02-23,1.0834,EUR_TO_USD
2024-02-26,1.0852,EUR_TO_USD
2024-02-27,1.0856,EUR_TO_USD
2024-02-28,1.0808,EUR_TO_USD
2024-02-29,1.0826,EUR_TO_USD
2024-03-01,1.0813,EUR_TO_USD
2024-03-04,1.0846,EUR_TO_USD
2024-03-05,1.0849,EUR_TO_USD
2024-03-06,1.0874,EUR_TO_USD
2024-03-07,1.0895,EUR_TO_USD
2024-03-08,1.0932,EUR_TO_USD
2024-03-11,1.0926,EUR_TO_USD
2024-03-12,1.0916,EUR_TO_USD
2024-03-13,1.0939,EUR_TO_USD
2024-03-14,1.0925,EUR_TO_USD
2024-03-15,1.0892,EUR_TO_USD
2024-03-18,1.0892,EUR_TO_USD
2024-03-19,1.0854,EUR_TO_USD
