date,rate,direction
2018-01-02,3.4546,USD_TO_PLN
2018-01-03,3.4616,USD_TO_PLN
2018-01-04,3.4472,USD_TO_PLN
2018-01-05,3.4488,USD_TO_PLN
2018-01-08,3.4735,USD_TO_PLN
2018-01-09,3.4992,USD_TO_PLN
2018-01-10,3.4999,USD_TO_PLN
2018-01-11,3.495,USD_TO_PLN
2018-01-12,3.4366,USD_TO_PLN
2018-01-15,3.401,USD_TO_PLN
2018-01-16,3.419,USD_TO_PLN
2018-01-17,3.4109,USD_TO_PLN
2018-01-18,3.4108,USD_TO_PLN
2018-01-19,3.3994,USD_TO_PLN
2018-01-22,3.4036,USD_TO_PLN
2018-01-23,3.4084,USD_TO_PLN
2018-01-24,3.375,USD_TO_PLN
2018-01-25,3.3376,USD_TO_PLN
2018-01-26,3.3299,USD_TO_PLN
2018-01-29,3.3375,USD_TO_PLN
2018-01-30,3.3442,USD_TO_PLN
2018-01-31,3.3318,USD_TO_PLN
2018-02-01,3.3346,USD_TO_PLN
2018-02-02,3.3329,USD_TO_PLN
2018-02-05,3.3375,USD_TO_PLN
2018-02-06,3.3498,USD_TO_PLN
2018-02-07,3.3677,USD_TO_PLN
2018-02-08,3.4119,USD_TO_PLN
2018-02-09,3.4263,USD_TO_PLN
2018-02-12,3.4122,USD_TO_PLN
2018-02-13,3.3916,USD_TO_PLN
2018-02-14,3.3769,USD_TO_PLN
2018-02-15,3.3259,USD_TO_PLN
2018-02-16,3.3173,USD_TO_PLN
2018-02-19,3.3411,USD_TO_PLN
2018-02-20,3.3597,USD_TO_PLN
2018-02-21,3.3697,USD_TO_PLN
2018-02-22,3.4009,USD_TO_PLN
2018-02-23,3.3911,USD_TO_PLN
2018-02-26,3.3799,USD_TO_PLN
2018-02-27,3.3816,USD_TO_PLN
2018-02-28,3.4188,USD_TO_PLN
2018-03-01,3.4356,USD_TO_PLN
2018-03-02,3.42,USD_TO_PLN
2018-03-05,3.3995,USD_TO_PLN
2018-03-06,3.3936,USD_TO_PLN
2018-03-07,3.3744,USD_TO_PLN
2018-03-08,3.3935,USD_TO_PLN
2018-03-09,3.4132,USD_TO_PLN
2018-03-12,3.4066,USD_TO_PLN
2018-03-13,3.4143,USD_TO_PLN
2018-03-14,3.4055,USD_TO_PLN
2018-03-15,3.4117,USD_TO_PLN
2018-03-16,3.4214,USD_TO_PLN
2018-03-19,3.4341,USD_TO_PLN
2018-03-20,3.4296,USD_TO_PLN
2018-03-21,3.4544,USD_TO_PLN
2018-03-22,3.4264,USD_TO_PLN
2018-03-23,3.4319,USD_TO_PLN
2018-03-26,3.4145,USD_TO_PLN
2018-03-27,3.3921,USD_TO_PLN
2018-03-28,3.3956,USD_TO_PLN
2018-03-29,3.4201,USD_TO_PLN
2018-03-30,3.4139,USD_TO_PLN
2018-04-03,3.4177,USD_TO_PLN
2018-04-04,3.4224,USD_TO_PLN
2018-04-05,3.4301,USD_TO_PLN
2018-04-06,3.4315,USD_TO_PLN
2018-04-09,3.4174,USD_TO_PLN
2018-04-10,3.4068,USD_TO_PLN
2018-04-11,3.3859,USD_TO_PLN
2018-04-12,3.3924,USD_TO_PLN
2018-04-13,3.3862,USD_TO_PLN
2018-04-16,3.3666,USD_TO_PLN
2018-04-17,3.3572,USD_TO_PLN
2018-04-18,3.3721,USD_TO_PLN
2018-04-19,3.3693,USD_TO_PLN
2018-04-20,3.3881,USD_TO_PLN
2018-04-23,3.4156,USD_TO_PLN
2018-04-24,3.4401,USD_TO_PLN
2018-04-25,3.4548,USD_TO_PLN
2018-04-26,3.4827,USD_TO_PLN
2018-04-27,3.5003,USD_TO_PLN
2018-04-30,3.4868,USD_TO_PLN
2018-05-02,3.5563,USD_TO_PLN
2018-05-04,3.5754,USD_TO_PLN
2018-05-07,3.5634,USD_TO_PLN
2018-05-08,3.5884,USD_TO_PLN
2018-05-09,3.609,USD_TO_PLN
2018-05-10,3.5773,USD_TO_PLN
2018-05-11,3.5708,USD_TO_PLN
2018-05-14,3.5558,USD_TO_PLN
2018-05-15,3.5931,USD_TO_PLN
2018-05-16,3.6241,USD_TO_PLN
2018-05-17,3.6283,USD_TO_PLN
2018-05-18,3.6385,USD_TO_PLN
2018-05-21,3.6615,USD_TO_PLN
2018-05-22,3.6252,USD_TO_PLN
2018-05-23,3.6693,USD_TO_PLN
2018-05-24,3.659,USD_TO_PLN
2018-05-25,3.6686,USD_TO_PLN
2018-05-28,3.6849,USD_TO_PLN
2018-05-29,3.7299,USD_TO_PLN
2018-05-30,3.72,USD_TO_PLN
2018-06-01,3.6934,USD_TO_PLN
2018-06-04,3.6665,USD_TO_PLN
2018-06-05,3.6569,USD_TO_PLN
2018-06-06,3.647,USD_TO_PLN
2018-06-07,3.6062,USD_TO_PLN
2018-06-08,3.6479,USD_TO_PLN
2018-06-11,3.6247,USD_TO_PLN
2018-06-12,3.6271,USD_TO_PLN
2018-06-13,3.6461,USD_TO_PLN
2018-06-14,3.6155,USD_TO_PLN
2018-06-15,3.6922,USD_TO_PLN
2018-06-18,3.7003,USD_TO_PLN
2018-06-19,3.7316,USD_TO_PLN
2018-06-20,3.7352,USD_TO_PLN
2018-06-21,3.7607,USD_TO_PLN
2018-06-22,3.6977,USD_TO_PLN
2018-06-25,3.7087,USD_TO_PLN
2018-06-26,3.7151,USD_TO_PLN
2018-06-27,3.7351,USD_TO_PLN
2018-06-28,3.7705,USD_TO_PLN
2018-06-29,3.744,USD_TO_PLN
2018-07-02,3.7703,USD_TO_PLN
2018-07-03,3.7723,USD_TO_PLN
2018-07-04,3.7759,USD_TO_PLN
2018-07-05,3.7485,USD_TO_PLN
2018-07-06,3.7222,USD_TO_PLN
2018-07-09,3.685,USD_TO_PLN
2018-07-10,3.6973,USD_TO_PLN
2018-07-11,3.7,USD_TO_PLN
2018-07-12,3.7055,USD_TO_PLN
2018-07-13,3.7244,USD_TO_PLN
2018-07-16,3.6828,USD_TO_PLN
2018-07-17,3.6619,USD_TO_PLN
2018-07-18,3.7031,USD_TO_PLN
2018-07-19,3.7163,USD_TO_PLN
2018-07-20,3.717,USD_TO_PLN
2018-07-23,3.6957,USD_TO_PLN
2018-07-24,3.702,USD_TO_PLN
2018-07-25,3.6793,USD_TO_PLN
2018-07-26,3.6649,USD_TO_PLN
2018-07-27,3.6937,USD_TO_PLN
2018-07-30,3.6684,USD_TO_PLN
2018-07-31,3.6481,USD_TO_PLN
2018-08-01,3.6603,USD_TO_PLN
2018-08-02,3.6783,USD_TO_PLN
2018-08-03,3.6926,USD_TO_PLN
2018-08-06,3.692,USD_TO_PLN
2018-08-07,3.6722,USD_TO_PLN
2018-08-08,3.6782,USD_TO_PLN
2018-08-09,3.6846,USD_TO_PLN
2018-08-10,3.7481,USD_TO_PLN
