date,rate,direction
2010-01-04,0.897,AUD_TO_USD
2010-01-05,0.9133,AUD_TO_USD
2010-01-06,0.9138,AUD_TO_USD
2010-01-07,0.9225,AUD_TO_USD
2010-01-08,0.9154,AUD_TO_USD
2010-01-11,0.9309,AUD_TO_USD
2010-01-12,0.9272,AUD_TO_USD
2010-01-13,0.9238,AUD_TO_USD
2010-01-14,0.9296,AUD_TO_USD
2010-01-15,0.9272,AUD_TO_USD
2010-01-18,0.9224,AUD_TO_USD
2010-01-19,0.9237,AUD_TO_USD
2010-01-20,0.9174,AUD_TO_USD
2010-01-21,0.9136,AUD_TO_USD
2010-01-22,0.9029,AUD_TO_USD
2010-01-25,0.9069,AUD_TO_USD
2010-01-27,0.902,AUD_TO_USD
2010-01-28,0.901,AUD_TO_USD
2010-01-29,0.8909,AUD_TO_USD
2010-02-01,0.8831,AUD_TO_USD
2010-02-02,0.8802,AUD_TO_USD
2010-02-03,0.8849,AUD_TO_USD
2010-02-04,0.8805,AUD_TO_USD
2010-02-05,0.8675,AUD_TO_USD
2010-02-08,0.8662,AUD_TO_USD
2010-02-09,0.8678,AUD_TO_USD
2010-02-10,0.8751,AUD_TO_USD
2010-02-11,0.8886,AUD_TO_USD
2010-02-12,0.889,AUD_TO_USD
2010-02-15,0.8874,AUD_TO_USD
2010-02-16,0.8937,AUD_TO_USD
2010-02-17,0.9016,AUD_TO_USD
2010-02-18,0.8954,AUD_TO_USD
2010-02-19,0.8909,AUD_TO_USD
2010-02-22,0.9012,AUD_TO_USD
2010-02-23,0.9011,AUD_TO_USD
2010-02-24,0.893,AUD_TO_USD
2010-02-25,0.8883,AUD_TO_USD
2010-02-26,0.8899,AUD_TO_USD
2010-03-01,0.8975,AUD_TO_USD
2010-03-02,0.8988,AUD_TO_USD
2010-03-03,0.905,AUD_TO_USD
2010-03-04,0.9021,AUD_TO_USD
2010-03-05,0.9007,AUD_TO_USD
2010-03-08,0.9112,AUD_TO_USD
2010-03-09,0.9094,AUD_TO_USD
2010-03-10,0.9158,AUD_TO_USD
2010-03-11,0.9143,AUD_TO_USD
2010-03-12,0.9159,AUD_TO_USD
2010-03-15,0.9138,AUD_TO_USD
2010-03-16,0.9152,AUD_TO_USD
2010-03-17,0.9189,AUD_TO_USD
2010-03-18,0.922,AUD_TO_USD
2010-03-19,0.9215,AUD_TO_USD
2010-03-22,0.9145,AUD_TO_USD
2010-03-23,0.9176,AUD_TO_USD
2010-03-24,0.9175,AUD_TO_USD
2010-03-25,0.9115,AUD_TO_USD
2010-03-26,0.9102,AUD_TO_USD
2010-03-29,0.9082,AUD_TO_USD
2010-03-30,0.9188,AUD_TO_USD
2010-03-31,0.9159,AUD_TO_USD
2010-04-01,0.9164,AUD_TO_USD
2010-04-06,0.9225,AUD_TO_USD
2010-04-07,0.9266,AUD_TO_USD
2010-04-08,0.9275,AUD_TO_USD
2010-04-09,0.9275,AUD_TO_USD
2010-04-12,0.9323,AUD_TO_USD
2010-04-13,0.9246,AUD_TO_USD
2010-04-14,0.9324,AUD_TO_USD
2010-04-15,0.9341,AUD_TO_USD
2010-04-16,0.9304,AUD_TO_USD
2010-04-19,0.9195,AUD_TO_USD
2010-04-20,0.927,AUD_TO_USD
2010-04-21,0.9329,AUD_TO_USD
2010-04-22,0.9272,AUD_TO_USD
2010-04-23,0.9212,AUD_TO_USD
2010-04-27,0.925,AUD_TO_USD
2010-04-28,0.9212,AUD_TO_USD
2010-04-29,0.9251,AUD_TO_USD
2010-04-30,0.93,AUD_TO_USD
2010-05-03,0.925,AUD_TO_USD
2010-05-04,0.9208,AUD_TO_USD
2010-05-05,0.91,AUD_TO_USD
2010-05-06,0.905,AUD_TO_USD
2010-05-07,0.8879,AUD_TO_USD
2010-05-10,0.9034,AUD_TO_USD
2010-05-11,0.8963,AUD_TO_USD
2010-05-12,0.8924,AUD_TO_USD
2010-05-13,0.9008,AUD_TO_USD
2010-05-14,0.8944,AUD_TO_USD
2010-05-17,0.877,AUD_TO_USD
2010-05-18,0.8743,AUD_TO_USD
2010-05-19,0.8561,AUD_TO_USD
2010-05-20,0.8311,AUD_TO_USD
2010-05-21,0.8305,AUD_TO_USD
2010-05-24,0.8265,AUD_TO_USD
2010-05-25,0.8178,AUD_TO_USD
2010-05-26,0.8226,AUD_TO_USD
2010-05-27,0.8326,AUD_TO_USD
2010-05-28,0.8524,AUD_TO_USD
2010-05-31,0.849,AUD_TO_USD
2010-06-01,0.8385,AUD_TO_USD
2010-06-02,0.8309,AUD_TO_USD
2010-06-03,0.8499,AUD_TO_USD
2010-06-04,0.844,AUD_TO_USD
2010-06-07,0.8156,AUD_TO_USD
2010-06-08,0.8198,AUD_TO_USD
2010-06-09,0.8227,AUD_TO_USD
2010-06-10,0.8385,AUD_TO_USD
2010-06-11,0.8449,AUD_TO_USD
2010-06-15,0.8564,AUD_TO_USD
2010-06-16,0.8645,AUD_TO_USD
2010-06-17,0.8606,AUD_TO_USD
2010-06-18,0.8691,AUD_TO_USD
2010-06-21,0.8828,AUD_TO_USD
2010-06-22,0.8759,AUD_TO_USD
2010-06-23,0.8698,AUD_TO_USD
2010-06-24,0.8731,AUD_TO_USD
2010-06-25,0.8626,AUD_TO_USD
2010-06-28,0.875,AUD_TO_USD
2010-06-29,0.8643,AUD_TO_USD
2010-06-30,0.8523,AUD_TO_USD
2010-07-01,0.8366,AUD_TO_USD
2010-07-02,0.8448,AUD_TO_USD
2010-07-05,0.8446,AUD_TO_USD
2010-07-06,0.8419,AUD_TO_USD
2010-07-07,0.848,AUD_TO_USD
2010-07-08,0.8725,AUD_TO_USD
2010-07-09,0.877,AUD_TO_USD
2010-07-12,0.8732,AUD_TO_USD
2010-07-13,0.8721,AUD_TO_USD
2010-07-14,0.8815,AUD_TO_USD
2010-07-15,0.8803,AUD_TO_USD
2010-07-16,0.8757,AUD_TO_USD
2010-07-19,0.8687,AUD_TO_USD
2010-07-20,0.878,AUD_TO_USD
2010-07-21,0.8822,AUD_TO_USD
2010-07-22,0.8776,AUD_TO_USD
2010-07-23,0.8919,AUD_TO_USD
2010-07-26,0.8954,AUD_TO_USD
2010-07-27,0.9019,AUD_TO_USD
2010-07-28,0.895,AUD_TO_USD
2010-07-29,0.8973,AUD_TO_USD
2010-07-30,0.8986,AUD_TO_USD
2010-08-03,0.9083,AUD_TO_USD
2010-08-04,0.9108,AUD_TO_USD
2010-08-05,0.9159,AUD_TO_USD
2010-08-06,0.9164,AUD_TO_USD
2010-08-09,0.9183,AUD_TO_USD
2010-08-10,0.9119,AUD_TO_USD
2010-08-11,0.9049,AUD_TO_USD
2010-08-12,0.8994,AUD_TO_USD
2010-08-13,0.9026,AUD_TO_USD
2010-08-16,0.8924,AUD_TO_USD
2010-08-17,0.9015,AUD_TO_USD
2010-08-18,0.9013,AUD_TO_USD
2010-08-19,0.8979,AUD_TO_USD
2010-08-20,0.89,AUD_TO_USD
2010-08-23,0.8907,AUD_TO_USD
2010-08-24,0.8894,AUD_TO_USD
2010-08-25,0.8837,AUD_TO_USD
2010-08-26,0.8882,AUD_TO_USD
2010-08-27,0.8874,AUD_TO_USD
2010-08-30,0.8982,AUD_TO_USD
2010-08-31,0.8918,AUD_TO_USD
2010-09-01,0.9,AUD_TO_USD
2010-09-02,0.9069,AUD_TO_USD
2010-09-03,0.9081,AUD_TO_USD
2010-09-06,0.917,AUD_TO_USD
2010-09-07,0.9136,AUD_TO_USD
2010-09-08,0.9138,AUD_TO_USD
2010-09-09,0.921,AUD_TO_USD
2010-09-10,0.9235,AUD_TO_USD
2010-09-13,0.9298,AUD_TO_USD
2010-09-14,0.9331,AUD_TO_USD
2010-09-15,0.9378,AUD_TO_USD
2010-09-16,0.934,AUD_TO_USD
2010-09-17,0.9448,AUD_TO_USD
2010-09-20,0.9444,AUD_TO_USD
2010-09-21,0.9456,AUD_TO_USD
2010-09-22,0.9559,AUD_TO_USD
2010-09-23,0.9568,AUD_TO_USD
2010-09-24,0.9504,AUD_TO_USD
2010-09-27,0.9581,AUD_TO_USD
2010-09-28,0.9589,AUD_TO_USD
2010-09-29,0.9675,AUD_TO_USD
2010-09-30,0.9667,AUD_TO_USD
2010-10-01,0.9657,AUD_TO_USD
2010-10-05,0.9586,AUD_TO_USD
2010-10-06,0.9711,AUD_TO_USD
2010-10-07,0.9832,AUD_TO_USD
2010-10-08,0.9835,AUD_TO_USD
2010-10-11,0.9866,AUD_TO_USD
2010-10-12,0.9786,AUD_TO_USD
2010-10-13,0.9867,AUD_TO_USD
2010-10-14,0.995,AUD_TO_USD
2010-10-15,0.9914,AUD_TO_USD
2010-10-18,0.9854,AUD_TO_USD
2010-10-19,0.9868,AUD_TO_USD
2010-10-20,0.9757,AUD_TO_USD
2010-10-21,0.9822,AUD_TO_USD
2010-10-22,0.9835,AUD_TO_USD
2010-10-25,0.9934,AUD_TO_USD
2010-10-26,0.9909,AUD_TO_USD
2010-10-27,0.9739,AUD_TO_USD
2010-10-28,0.9755,AUD_TO_USD
2010-10-29,0.9761,AUD_TO_USD
2010-11-01,0.9881,AUD_TO_USD
2010-11-02,0.9974,AUD_TO_USD
2010-11-03,0.9973,AUD_TO_USD
2010-11-04,1.0059,AUD_TO_USD
2010-11-05,1.0153,AUD_TO_USD
2010-11-08,1.0132,AUD_TO_USD
2010-11-09,1.0115,AUD_TO_USD
2010-11-10,1.0038,AUD_TO_USD
2010-11-11,1.0045,AUD_TO_USD
2010-11-12,0.9935,AUD_TO_USD
2010-11-15,0.9855,AUD_TO_USD
2010-11-16,0.9864,AUD_TO_USD
2010-11-17,0.9763,AUD_TO_USD
2010-11-18,0.9844,AUD_TO_USD
2010-11-19,0.9857,AUD_TO_USD
2010-11-22,0.993,AUD_TO_USD
2010-11-23,0.9854,AUD_TO_USD
2010-11-24,0.9789,AUD_TO_USD
2010-11-25,0.9785,AUD_TO_USD
2010-11-26,0.9735,AUD_TO_USD
2010-11-29,0.9634,AUD_TO_USD
2010-11-30,0.9618,AUD_TO_USD
2010-12-01,0.9571,AUD_TO_USD
2010-12-02,0.9639,AUD_TO_USD
2010-12-03,0.9758,AUD_TO_USD
2010-12-06,0.9877,AUD_TO_USD
2010-12-07,0.9904,AUD_TO_USD
